support,itemsets,is_relevant
0.002220306663532116,"frozenset({'tailor_shop', 'TAG_KEY:shop', 'tailor_tailor'})",True
0.002220306663532116,"frozenset({'TAG_KEY:shop', 'tailor_tailor'})",True
0.002220306663532116,"frozenset({'tailor_shop', 'tailor_tailor'})",True
0.002220306663532116,frozenset({'tailor_tailor'}),True
0.0021941854086670325,"frozenset({'playground_leisure', 'park_playground', 'TAG_KEY:leisure'})",True
0.0021941854086670325,"frozenset({'park_playground', 'TAG_KEY:leisure'})",True
0.0021941854086670325,"frozenset({'playground_leisure', 'park_playground'})",True
0.0021941854086670325,frozenset({'park_playground'}),True
0.0021680641538019485,"frozenset({'parking_amenity', 'parking_parking'})",True
0.0021680641538019485,frozenset({'parking_parking'}),True
0.0021680641538019485,"frozenset({'TAG_KEY:amenity', 'parking_parking'})",True
0.0021680641538019485,"frozenset({'TAG_KEY:amenity', 'parking_amenity', 'parking_parking'})",True
0.002115821644071781,frozenset({'shoes_shoes'}),True
0.002115821644071781,"frozenset({'shoes_shop', 'shoes_shoes', 'TAG_KEY:shop'})",True
0.002115821644071781,"frozenset({'shoes_shop', 'shoes_shoes'})",True
0.002115821644071781,"frozenset({'shoes_shoes', 'TAG_KEY:shop'})",True
0.0020635791343416136,"frozenset({'TAG_KEY:shop', 'general_store', 'convenience_shop'})",True
0.0020635791343416136,"frozenset({'general_store', 'convenience_shop'})",True
0.0020635791343416136,"frozenset({'town_place', 'TAG_KEY:place'})",True
0.00203745787947653,"frozenset({'TAG_KEY:shop', 'store_convenience', 'general_store', 'convenience_shop'})",True
0.00203745787947653,"frozenset({'store_convenience', 'general_store', 'TAG_KEY:shop'})",True
0.00203745787947653,"frozenset({'store_convenience', 'general_store'})",True
0.00203745787947653,"frozenset({'store_convenience', 'general_store', 'convenience_shop'})",True
0.001854609095420944,"frozenset({'housing_society', 'TAG_KEY:place'})",True
0.0018284878405558603,frozenset({'store_electronics'}),True
0.0018284878405558603,"frozenset({'electronics_shop', 'store_electronics', 'TAG_KEY:shop'})",True
0.0018284878405558603,"frozenset({'store_electronics', 'TAG_KEY:shop'})",True
0.0018284878405558603,"frozenset({'electronics_shop', 'store_electronics'})",True
0.0017501240759606092,"frozenset({'estate_estate', 'real_estate'})",True
0.0017501240759606092,frozenset({'motorcycle_shop'}),True
0.0017501240759606092,"frozenset({'TAG_KEY:amenity', 'bank_amenity'})",True
0.0017501240759606092,"frozenset({'estate_estate', 'estate_agent', 'real_estate', 'agent_office'})",True
0.0017501240759606092,"frozenset({'estate_estate', 'real_estate', 'TAG_KEY:office'})",True
0.0017501240759606092,"frozenset({'estate_agent', 'real_estate', 'estate_estate', 'TAG_KEY:office'})",True
0.0017501240759606092,"frozenset({'estate_estate', 'real_estate', 'agent_office'})",True
0.0017501240759606092,"frozenset({'estate_agent', 'real_estate', 'estate_estate'})",True
0.0017501240759606092,frozenset({'bank_amenity'}),True
