antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'tea'}),"frozenset({'quetta', 'amenity__cafe', 'main'})",0.04089506172839506,0.008487654320987654,0.008487654320987654,0.20754716981132074,24.452830188679243,1.0,0.008140551173601584,1.251194150499706,1.0,0.20754716981132074,0.20076352690698182,0.6037735849056604
"frozenset({'quetta', 'hotel'})",frozenset({'amenity__cafe'}),0.006172839506172839,0.13425925925925927,0.006172839506172839,1.0,7.448275862068964,1.0,0.005344078646547782,inf,0.8711180124223602,0.045977011494252866,1.0,0.5229885057471264
frozenset({'quetta'}),"frozenset({'hotel', 'amenity__cafe'})",0.011574074074074073,0.016203703703703703,0.006172839506172839,0.5333333333333333,32.91428571428572,1.0,0.005985296639231824,2.1081349206349205,0.9809718969555035,0.2857142857142857,0.5256470588235294,0.45714285714285713
frozenset({'hotel'}),"frozenset({'quetta', 'amenity__cafe'})",0.037037037037037035,0.011574074074074073,0.006172839506172839,0.16666666666666666,14.4,1.0,0.005744170096021947,1.1861111111111111,0.9663461538461537,0.14545454545454548,0.15690866510538642,0.35
"frozenset({'quetta', 'hotel', 'tea'})",frozenset({'amenity__cafe'}),0.006172839506172839,0.13425925925925927,0.006172839506172839,1.0,7.448275862068964,1.0,0.005344078646547782,inf,0.8711180124223602,0.045977011494252866,1.0,0.5229885057471264
"frozenset({'quetta', 'hotel'})","frozenset({'amenity__cafe', 'tea'})",0.006172839506172839,0.04089506172839506,0.006172839506172839,1.0,24.452830188679243,1.0,0.005920400853528425,inf,0.9650621118012422,0.1509433962264151,1.0,0.5754716981132075
"frozenset({'quetta', 'tea'})","frozenset({'hotel', 'amenity__cafe'})",0.011574074074074073,0.016203703703703703,0.006172839506172839,0.5333333333333333,32.91428571428572,1.0,0.005985296639231824,2.1081349206349205,0.9809718969555035,0.2857142857142857,0.5256470588235294,0.45714285714285713
"frozenset({'hotel', 'tea'})","frozenset({'quetta', 'amenity__cafe'})",0.014660493827160493,0.011574074074074073,0.006172839506172839,0.42105263157894735,36.37894736842105,1.0,0.006003157864654778,1.7072811447811447,0.9869812059514488,0.3076923076923077,0.4142733883890053,0.47719298245614034
frozenset({'quetta'}),"frozenset({'hotel', 'amenity__cafe', 'tea'})",0.011574074074074073,0.014660493827160493,0.006172839506172839,0.5333333333333333,36.37894736842105,1.0,0.006003157864654778,2.111441798941799,0.9838992974238876,0.3076923076923077,0.5263899765074393,0.47719298245614034
frozenset({'hotel'}),"frozenset({'quetta', 'amenity__cafe', 'tea'})",0.037037037037037035,0.011574074074074073,0.006172839506172839,0.16666666666666666,14.4,1.0,0.005744170096021947,1.1861111111111111,0.9663461538461537,0.14545454545454548,0.15690866510538642,0.35
frozenset({'tea'}),"frozenset({'quetta', 'hotel', 'amenity__cafe'})",0.04089506172839506,0.006172839506172839,0.006172839506172839,0.1509433962264151,24.452830188679247,1.0,0.005920400853528425,1.1705075445816187,1.0,0.1509433962264151,0.1456697527247158,0.5754716981132075
frozenset({'precinct'}),frozenset({'amenity__police'}),0.033950617283950615,0.13194444444444445,0.033950617283950615,1.0,7.578947368421052,1.0,0.029471021947873797,inf,0.8985623003194889,0.25730994152046777,1.0,0.6286549707602339
"frozenset({'cheap', 'precinct'})",frozenset({'amenity__police'}),0.006944444444444444,0.13194444444444445,0.006944444444444444,1.0,7.578947368421052,1.0,0.0060281635802469135,inf,0.8741258741258742,0.05263157894736842,1.0,0.5263157894736842
frozenset({'cheap'}),"frozenset({'amenity__police', 'precinct'})",0.04861111111111111,0.033950617283950615,0.006944444444444444,0.14285714285714285,4.207792207792208,1.0,0.005294067215363511,1.1270576131687242,0.8012976480129765,0.09183673469387754,0.11273391145595618,0.1737012987012987
frozenset({'precinct'}),"frozenset({'amenity__police', 'cheap'})",0.033950617283950615,0.007716049382716049,0.006944444444444444,0.20454545454545456,26.50909090909091,1.0,0.006682479804907788,1.2474426807760142,0.9960951366702165,0.19999999999999998,0.19835996041283757,0.5522727272727272
"frozenset({'clean', 'precinct'})",frozenset({'amenity__police'}),0.005401234567901234,0.13194444444444445,0.005401234567901234,1.0,7.578947368421052,1.0,0.004688571673525377,inf,0.8727695888285493,0.04093567251461988,1.0,0.52046783625731
frozenset({'clean'}),"frozenset({'amenity__police', 'precinct'})",0.041666666666666664,0.033950617283950615,0.005401234567901234,0.12962962962962962,3.8181818181818183,1.0,0.003986625514403292,1.1099290780141844,0.7701863354037267,0.07692307692307691,0.09904153354632587,0.14436026936026936
frozenset({'precinct'}),"frozenset({'amenity__police', 'clean'})",0.033950617283950615,0.009259259259259259,0.005401234567901234,0.1590909090909091,17.181818181818183,1.0,0.005086877000457247,1.1781781781781782,0.9748973071656778,0.14285714285714285,0.15123194562446898,0.3712121212121212
frozenset({'koi'}),frozenset({'leisure__park'}),0.07407407407407407,0.125,0.009259259259259259,0.125,1.0,1.0,0.0,1.0,0.0,0.048780487804878044,0.0,0.09953703703703703
frozenset({'koi'}),frozenset({'shop__tailor'}),0.07407407407407407,0.12962962962962962,0.010030864197530864,0.13541666666666666,1.0446428571428572,1.0,0.000428669410150892,1.00669344042838,0.0461538461538462,0.05179282868525896,0.006648936170212763,0.10639880952380952
frozenset({'koi'}),frozenset({'shop__convenience'}),0.07407407407407407,0.1095679012345679,0.012345679012345678,0.16666666666666666,1.5211267605633803,1.0,0.004229538180155463,1.0685185185185184,0.36999999999999994,0.07207207207207207,0.06412478336221836,0.1396713615023474
frozenset({'koi'}),frozenset({'amenity__cafe'}),0.07407407407407407,0.13425925925925927,0.010802469135802469,0.14583333333333334,1.0862068965517242,1.0,0.0008573388203017823,1.013550135501355,0.08571428571428562,0.05468749999999999,0.013368983957219248,0.11314655172413793
frozenset({'koi'}),frozenset({'shop__clothes'}),0.07407407407407407,0.1381172839506173,0.007716049382716049,0.10416666666666667,0.7541899441340782,1.0,-0.002514860539551897,0.9621016365202412,-0.2603550295857988,0.03773584905660377,-0.03939122649955237,0.08001629422718809
frozenset({'koi'}),frozenset({'amenity__police'}),0.07407407407407407,0.13194444444444445,0.011574074074074073,0.15625,1.1842105263157894,1.0,0.0018004115226337453,1.02880658436214,0.16800000000000007,0.05952380952380952,0.027999999999999997,0.12198464912280702
"frozenset({'koi', 'main'})",frozenset({'leisure__park'}),0.05478395061728395,0.125,0.006944444444444444,0.1267605633802817,1.0140845070422535,1.0,9.645061728395018e-05,1.0020161290322582,0.014693877551020343,0.04017857142857143,0.002012072434607643,0.09115805946791862
"frozenset({'koi', 'main'})",frozenset({'shop__tailor'}),0.05478395061728395,0.12962962962962962,0.006944444444444444,0.1267605633802817,0.977867203219316,1.0,-0.00015717878372199356,0.9967144563918758,-0.023385596598458673,0.0391304347826087,-0.003296373988612521,0.09016599597585513
"frozenset({'koi', 'main'})",frozenset({'shop__convenience'}),0.05478395061728395,0.1095679012345679,0.006944444444444444,0.1267605633802817,1.1569133108510217,1.0,0.0009418819539704307,1.0196883711668658,0.14349206349206342,0.044117647058823525,0.019308223692240094,0.09507042253521127
"frozenset({'koi', 'main'})",frozenset({'amenity__cafe'}),0.05478395061728395,0.13425925925925927,0.006944444444444444,0.1267605633802817,0.9441476444876152,1.0,-0.00041080818472793903,0.9914127837514934,-0.05889884763124217,0.03813559322033898,-0.008661595239888548,0.08924235065565808
"frozenset({'koi', 'main'})",frozenset({'shop__clothes'}),0.05478395061728395,0.1381172839506173,0.006944444444444444,0.1267605633802817,0.9177748052561177,1.0,-0.0006221660188995585,0.9869947232178415,-0.08657829328914672,0.03734439834024896,-0.013176642667103793,0.08851994649461012
"frozenset({'koi', 'main'})",frozenset({'amenity__police'}),0.05478395061728395,0.13194444444444445,0.010802469135802469,0.19718309859154928,1.4944403261675314,1.0,0.003574031207133058,1.0812621832358673,0.35002915451895034,0.06140350877192982,0.07515492957746477,0.1395272218103945
frozenset({'koi'}),"frozenset({'amenity__police', 'main'})",0.07407407407407407,0.04089506172839506,0.010802469135802469,0.14583333333333334,3.566037735849057,1.0,0.0077732053040695005,1.122854561878952,0.777142857142857,0.1037037037037037,0.10941271118262269,0.20499213836477986
frozenset({'saddar'}),frozenset({'amenity__police'}),0.07561728395061729,0.13194444444444445,0.010802469135802469,0.14285714285714285,1.0827067669172932,1.0,0.0008251886145404647,1.0127314814814814,0.08263772954924857,0.05490196078431372,0.012571428571428558,0.1123642439431913
frozenset({'saddar'}),frozenset({'amenity__cafe'}),0.07561728395061729,0.13425925925925927,0.011574074074074073,0.1530612244897959,1.140042223786066,1.0,0.0014217535436671213,1.0221999107541275,0.13288814691151898,0.05836575875486381,0.021717778020298985,0.11963406052076
frozenset({'saddar'}),frozenset({'shop__clothes'}),0.07561728395061729,0.1381172839506173,0.013117283950617283,0.173469387755102,1.2559571314559341,1.0,0.00267323007163542,1.0427716811461667,0.22046548168516145,0.06538461538461537,0.04101730217601809,0.13422072739710408
frozenset({'saddar'}),frozenset({'leisure__park'}),0.07561728395061729,0.125,0.008487654320987654,0.11224489795918366,0.8979591836734693,1.0,-0.000964506172839507,0.985632183908046,-0.10947425327747001,0.04417670682730924,-0.014577259475218676,0.09007306626354245
frozenset({'saddar'}),frozenset({'shop__tailor'}),0.07561728395061729,0.12962962962962962,0.014660493827160493,0.19387755102040816,1.4956268221574345,1.0,0.004858253315043437,1.0796999531176745,0.3584922238819084,0.07692307692307693,0.07381676074685194,0.15348639455782312
frozenset({'popular'}),frozenset({'amenity__restaurant'}),0.03780864197530864,0.1111111111111111,0.006944444444444444,0.18367346938775508,1.6530612244897958,1.0,0.002743484224965706,1.0888888888888888,0.4105854049719326,0.04891304347826087,0.08163265306122448,0.12308673469387754
frozenset({'popular'}),frozenset({'amenity__police'}),0.03780864197530864,0.13194444444444445,0.006172839506172839,0.16326530612244897,1.237379162191192,1.0,0.0011841992455418372,1.0374322493224932,0.19937850842020835,0.03773584905660377,0.036081632653061205,0.10502446592672156
frozenset({'popular'}),frozenset({'shop__clothes'}),0.03780864197530864,0.1381172839506173,0.005401234567901234,0.14285714285714285,1.0343176376695928,1.0,0.00017920762841030276,1.0055298353909463,0.03448275862068955,0.03167420814479638,0.005499424478833598,0.09098164405426976
frozenset({'popular'}),frozenset({'leisure__park'}),0.03780864197530864,0.125,0.005401234567901234,0.14285714285714285,1.1428571428571428,1.0,0.0006751543209876538,1.0208333333333333,0.12991178829190048,0.034313725490196074,0.020408163265306114,0.09303350970017636
